run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,clean,,baseline,jupiter-v6,2892224,success,wall,20485534,0
0,clean,,baseline,jupiter-v6,2892224,success,client_setup,19222,0
0,clean,,baseline,jupiter-v6,2892224,success,first_send,3653,0
0,clean,,baseline,jupiter-v6,2892224,success,send_phase,18652602,1866
0,clean,,baseline,jupiter-v6,2892224,success,resend_rounds,1,69
0,clean,,baseline,jupiter-v6,2892224,success,resent_txs,69,0
0,clean,,baseline,jupiter-v6,2892224,success,resend_time,681021,0
0,clean,,baseline,jupiter-v6,2892224,success,confirm_phase,681088,0
0,clean,,baseline,jupiter-v6,2892224,success,write_chunks,19388931,1866
0,clean,,baseline,jupiter-v6,2892224,success,final_tx,511063,0
0,clean,,baseline,jupiter-v6,2892224,success,total_deploy,20424748,2892224
0,clean,,tpu_next,jupiter-v6,2892224,success,wall,20702167,0
0,clean,,tpu_next,jupiter-v6,2892224,success,client_setup,9594,0
0,clean,,tpu_next,jupiter-v6,2892224,success,first_send,5,0
0,clean,,tpu_next,jupiter-v6,2892224,success,send_phase,18652524,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,96
0,clean,,tpu_next,jupiter-v6,2892224,success,resent_txs,96,0
0,clean,,tpu_next,jupiter-v6,2892224,success,resend_time,950393,0
0,clean,,tpu_next,jupiter-v6,2892224,success,confirm_phase,950466,0
0,clean,,tpu_next,jupiter-v6,2892224,success,write_chunks,19631299,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,quic_sent,1961,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,final_tx,509382,0
0,clean,,tpu_next,jupiter-v6,2892224,success,total_deploy,20655977,2892224
0,clean,,baseline,token-2022,1382016,success,wall,7438753,0
0,clean,,baseline,token-2022,1382016,success,client_setup,670,0
0,clean,,baseline,token-2022,1382016,success,first_send,948,0
0,clean,,baseline,token-2022,1382016,success,send_phase,5001198,501
0,clean,,baseline,token-2022,1382016,success,resend_rounds,1,140
0,clean,,baseline,token-2022,1382016,success,resent_txs,140,0
0,clean,,baseline,token-2022,1382016,success,resend_time,1390705,0
0,clean,,baseline,token-2022,1382016,success,confirm_phase,1390776,0
0,clean,,baseline,token-2022,1382016,success,write_chunks,6408152,501
0,clean,,baseline,token-2022,1382016,success,final_tx,505244,0
0,clean,,baseline,token-2022,1382016,success,total_deploy,7416361,1382016
0,clean,,tpu_next,token-2022,1382016,success,wall,7422132,0
0,clean,,tpu_next,token-2022,1382016,success,client_setup,488,0
0,clean,,tpu_next,token-2022,1382016,success,first_send,3,0
0,clean,,tpu_next,token-2022,1382016,success,send_phase,5001352,501
0,clean,,tpu_next,token-2022,1382016,success,resend_rounds,1,140
0,clean,,tpu_next,token-2022,1382016,success,resent_txs,140,0
0,clean,,tpu_next,token-2022,1382016,success,resend_time,1390867,0
0,clean,,tpu_next,token-2022,1382016,success,confirm_phase,1390954,0
0,clean,,tpu_next,token-2022,1382016,success,write_chunks,6400495,501
0,clean,,tpu_next,token-2022,1382016,success,quic_sent,640,501
0,clean,,tpu_next,token-2022,1382016,success,final_tx,505891,0
0,clean,,tpu_next,token-2022,1382016,success,total_deploy,7409812,1382016
0,clean,,tpu_next,token,108600,success,wall,3033451,0
0,clean,,tpu_next,token,108600,success,client_setup,539,0
0,clean,,tpu_next,token,108600,success,first_send,3,0
0,clean,,tpu_next,token,108600,success,send_phase,1070960,108
0,clean,,tpu_next,token,108600,success,resend_rounds,2,39
0,clean,,tpu_next,token,108600,success,resent_txs,39,0
0,clean,,tpu_next,token,108600,success,resend_time,381678,0
0,clean,,tpu_next,token,108600,success,confirm_phase,932901,0
0,clean,,tpu_next,token,108600,success,write_chunks,2005717,108
0,clean,,tpu_next,token,108600,success,quic_sent,147,108
0,clean,,tpu_next,token,108600,success,final_tx,502913,0
0,clean,,tpu_next,token,108600,success,total_deploy,3011872,108600
0,clean,,baseline,token,108600,success,wall,3176877,0
0,clean,,baseline,token,108600,success,client_setup,863,0
0,clean,,baseline,token,108600,success,first_send,896,0
0,clean,,baseline,token,108600,success,send_phase,1070947,108
0,clean,,baseline,token,108600,success,resend_rounds,3,37
0,clean,,baseline,token,108600,success,resent_txs,111,0
0,clean,,baseline,token,108600,success,resend_time,1082563,0
0,clean,,baseline,token,108600,success,confirm_phase,1082669,0
0,clean,,baseline,token,108600,success,write_chunks,2157220,108
0,clean,,baseline,token,108600,success,final_tx,502747,0
0,clean,,baseline,token,108600,success,total_deploy,3164027,108600
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,wall,20681014,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,544,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,first_send,1069,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,send_phase,18653141,1866
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,resend_rounds,1,95
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,resent_txs,95,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,resend_time,941324,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,confirm_phase,941384,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,write_chunks,19650008,1866
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,final_tx,511274,0
0,d00_l1,loss random 1%,baseline,jupiter-v6,2892224,success,total_deploy,20666114,2892224
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,wall,20624430,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,client_setup,446,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,first_send,4,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,send_phase,18651712,1866
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,92
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,resent_txs,92,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_time,911583,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,confirm_phase,911653,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,write_chunks,19592408,1866
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,quic_sent,1957,1866
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,final_tx,509696,0
0,d00_l1,loss random 1%,tpu_next,jupiter-v6,2892224,success,total_deploy,20608273,2892224
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,wall,7210587,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,client_setup,601,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,first_send,962,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,send_phase,5002057,501
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,resend_rounds,1,118
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,resent_txs,118,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,resend_time,1171163,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,confirm_phase,1171252,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,write_chunks,6188685,501
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,final_tx,505972,0
0,d00_l1,loss random 1%,baseline,token-2022,1382016,success,total_deploy,7197481,1382016
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,wall,7388710,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,client_setup,206174,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,first_send,5,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,send_phase,5001052,501
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,resend_rounds,1,116
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,resent_txs,116,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,resend_time,1151424,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,confirm_phase,1151504,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,write_chunks,6160384,501
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,quic_sent,616,501
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,final_tx,505353,0
0,d00_l1,loss random 1%,tpu_next,token-2022,1382016,success,total_deploy,7376409,1382016
0,d00_l1,loss random 1%,baseline,token,108600,success,wall,3190667,0
0,d00_l1,loss random 1%,baseline,token,108600,success,client_setup,14023,0
0,d00_l1,loss random 1%,baseline,token,108600,success,first_send,1215,0
0,d00_l1,loss random 1%,baseline,token,108600,success,send_phase,1071505,108
0,d00_l1,loss random 1%,baseline,token,108600,success,resend_rounds,3,37
0,d00_l1,loss random 1%,baseline,token,108600,success,resent_txs,111,0
0,d00_l1,loss random 1%,baseline,token,108600,success,resend_time,1082939,0
0,d00_l1,loss random 1%,baseline,token,108600,success,confirm_phase,1083033,0
0,d00_l1,loss random 1%,baseline,token,108600,success,write_chunks,2158047,108
0,d00_l1,loss random 1%,baseline,token,108600,success,final_tx,503567,0
0,d00_l1,loss random 1%,baseline,token,108600,success,total_deploy,3178254,108600
0,d00_l1,loss random 1%,tpu_next,token,108600,success,wall,3022529,0
0,d00_l1,loss random 1%,tpu_next,token,108600,success,client_setup,426,0
0,d00_l1,loss random 1%,tpu_next,token,108600,success,first_send,2,0
0,d00_l1,loss random 1%,tpu_next,token,108600,success,send_phase,1071284,108
0,d00_l1,loss random 1%,tpu_next,token,108600,success,resend_rounds,2,37
0,d00_l1,loss random 1%,tpu_next,token,108600,success,resent_txs,37,0
0,d00_l1,loss random 1%,tpu_next,token,108600,success,resend_time,361050,0
0,d00_l1,loss random 1%,tpu_next,token,108600,success,confirm_phase,932686,0
0,d00_l1,loss random 1%,tpu_next,token,108600,success,write_chunks,2005976,108
0,d00_l1,loss random 1%,tpu_next,token,108600,success,quic_sent,145,108
